model,image_size,prompt_name,image_filename,tags,raw_output,timestamp,success
llava:7b,768,01-structured-comprehensive,01-street-meditation-couple.jpg,"bench, black, city, couple, grey, night, sitting, smiling, street, white, winter"," couple, bench, street, city, winter, night, sitting, smiling, black, white, grey ",2025-06-24T23:05:25-04:00,true
llava:7b,768,01-structured-comprehensive,02-graffiti-skate-park.jpg,"2-people, abandoned, abandoned warehouse, black, blue, cold, colorful, concrete, concrete floor, dark, desolate, dilapidated, empty, empty building, graffiti, graffiti artist, gray, gritty, indoor, metal, metal beams, moody, neglected, old, people, photographer, red, rusted, skate park, skateboard ramp, skateboarding, skater, standing, street art, urban, urban decay, vibrant, white, yellow"," indoor, graffiti, skateboard ramp, 2-people, standing, empty, abandoned, concrete, metal, urban, street art, colorful, vibrant, dark, moody, gritty, neglected, desolate, cold, gray, blue, red, yellow, white, black, people, skateboarding, graffiti artist, photographer, skater, skate park, abandoned warehouse, urban decay, empty building, concrete floor, metal beams, rusted, old, dilapidated, dark, moody, gritty, neglected, desolate, cold, gray, blue, red, yellow, white, black ",2025-06-24T23:05:28-04:00,true
llava:7b,768,01-structured-comprehensive,03-belgian-stew-fries.jpg,"bottle, casual, chair, condiment, dining, dining table, dinner, eating, evening, food, fork, fries, indoor, ketchup, knife, meal, napkin, person, plate, potatoes, relaxed, restaurant, sauce, sitting, socializing, steak, table, utensils"," food, plate, fries, sauce, fork, knife, table, restaurant, dining, meal, dinner, steak, potatoes, ketchup, bottle, condiment, napkin, utensils, dining table, chair, person, eating, sitting, socializing, relaxed, casual, indoor, evening ",2025-06-24T23:05:30-04:00,true
llava:7b,768,01-structured-comprehensive,04-cheese-fondue-dinner.jpg,"beer, bread, casual, dining table, evening, food, indoor, person, restaurant, soup"," soup, bread, beer, person, dining table, food, restaurant, indoor, evening, casual ",2025-06-24T23:05:31-04:00,true
llava:7b,768,01-structured-comprehensive,05-snowboarders-mountain-rest.jpg,"cold, group, leisure, mountain, outdoor, recreation, ski, snowboarding, snowy, social, winter"," snowboarding, group, mountain, ski, winter, outdoor, snowy, cold, leisure, recreation, social ",2025-06-24T23:05:32-04:00,true
llava:7b,768,01-structured-comprehensive,06-alpine-trail-hiker.jpg,"blue sky, campfire, camping, enjoying nature, fire pit, forest, grass, green trees, leisure, outdoor, picnic table, pine needles, relaxation, sitting, talking, tranquility, two people"," camping, outdoor, forest, picnic table, two people, sitting, talking, enjoying nature, green trees, blue sky, grass, pine needles, fire pit, campfire, relaxation, leisure, tranquility ",2025-06-24T23:05:34-04:00,true
llava:7b,768,01-structured-comprehensive,07-restaurant-group-dinner.jpg,"background, beer, blurred, bottles, casual, chairs, comfortable, cups, cutlery, dining table, drinks, evening, focus on foreground, food, friends, green walls, happy, indoor, informal, people, plates, relaxed, restaurant, smartphones, socializing, warm lighting, wine glasses, wooden floor"," restaurant, indoor, dining table, people, socializing, food, drinks, casual, relaxed, warm lighting, green walls, wooden floor, beer, wine glasses, smartphones, bottles, cups, plates, cutlery, chairs, background, blurred, focus on foreground, friends, happy, comfortable, informal, evening ",2025-06-24T23:05:35-04:00,true
llava:7b,768,01-structured-comprehensive,08-neon-bar-friends.jpg,"cozy, indoor, night, people sitting, purple and blue lighting, purple lights, socializing, warm"," purple lights, people sitting, socializing, purple and blue lighting, indoor, night, warm, cozy ",2025-06-24T23:05:37-04:00,true
llava:7b,768,01-structured-comprehensive,09-record-store-group-photo.jpg,"bookshelf, colorful, group, indoor, joyful, night, people, posing, record store, smiling"," people, posing, smiling, bookshelf, record store, indoor, night, group, joyful, colorful ",2025-06-24T23:05:38-04:00,true
llava:7b,768,01-structured-comprehensive,10-alpine-peaks-vista.jpg,"0 people, blue sky, calm, clear day, clouds, green trees, no visible actions or interactions, outdoor, serene, ski lift, snow-covered mountains, snowy mountain range, winter sports"," snowy mountain range, ski lift, blue sky, clouds, snow-covered mountains, green trees, clear day, outdoor, winter sports, 0 people, no visible actions or interactions, calm, serene ",2025-06-24T23:05:39-04:00,true
llava:7b,768,01-structured-comprehensive,11-blue-sneakers-blacklight.jpg,"3-people, black laces, blue jeans, casual, clear sky, daytime, green grass, outdoor, purple sneakers, relaxed, sitting, social, talking"," purple sneakers, blue jeans, black laces, green grass, clear sky, 3-people, sitting, talking, relaxed, outdoor, daytime, casual, social ",2025-06-24T23:05:41-04:00,true
llava:7b,768,01-structured-comprehensive,12-winter-jackets-uv-light.jpg,"beer bottle, couple, glasses, hat, indoor, jacket, man, night, party, person, scarf, sign, snow, woman"," person, man, woman, couple, jacket, scarf, hat, sign, beer bottle, glasses, snow, night, indoor, party ",2025-06-24T23:05:42-04:00,true
llava:7b,768,01-structured-comprehensive,13-couple-train-selfie.jpg,"blue, comfortable, couple, evening, indoor, relaxed, sitting, smiling, train, white"," couple, train, sitting, smiling, relaxed, comfortable, indoor, evening, blue, white ",2025-06-24T23:05:43-04:00,true
llava:7b,768,01-structured-comprehensive,14-freddie-mercury-statue.jpg,"bronze, city, clear, commemorative, daytime, grass, man, memorial, outdoor, park, person, plaque, sculpture, sidewalk, statue"," statue, bronze, person, man, sculpture, park, grass, sidewalk, plaque, memorial, city, outdoor, clear, daytime, commemorative ",2025-06-24T23:05:45-04:00,true
llava:7b,768,01-structured-comprehensive,15-red-eyes-costume-display.jpg,"clown suit, red boots, red bow tie, red buttons, red cane, red cl, red clown boots, red clown bow tie, red clown buttons, red clown collar, red clown cuffs, red clown gloves, red clown hair, red clown hat, red clown lips, red clown makeup, red clown mask, red clown nose, red clown pants, red clown shoes, red clown teeth, red clown wig, red collar, red cuffs, red feathers, red glasses, red hair, red hat, red jacket, red lips, red makeup, red mask, red nose, red pants, red shoes, red teeth, red wig, white gloves"," red jacket, clown suit, red shoes, white gloves, red feathers, red hair, red makeup, red nose, red lips, red teeth, red wig, red collar, red buttons, red bow tie, red cuffs, red pants, red boots, red hat, red mask, red glasses, red cane, red clown shoes, red clown hat, red clown mask, red clown gloves, red clown nose, red clown lips, red clown teeth, red clown wig, red clown hair, red clown makeup, red clown collar, red clown buttons, red clown bow tie, red clown cuffs, red clown pants, red clown boots, red clown hat, red clown mask, red clown gloves, red clown nose, red clown lips, red clown teeth, red clown wig, red clown hair, red clown makeup, red clown collar, red clown buttons, red clown bow tie, red clown cuffs, red clown pants, red clown boots, red clown hat, red clown mask, red clown gloves, red clown nose, red clown lips, red clown teeth, red clown wig, red clown hair, red clown makeup, red clown collar, red clown buttons, red clown bow tie, red clown cuffs, red cl",2025-06-24T23:05:49-04:00,true
llava:7b,768,01-structured-comprehensive,16-highland-cattle-pen.jpg,"animals, brown, cows, dirt, fence, field, grass, green, horns, rural"," cows, field, grass, dirt, fence, horns, animals, rural, green, brown ",2025-06-24T23:05:51-04:00,true
llava:7b,768,01-structured-comprehensive,17-european-town-rooftop-view.jpg,"architecture, balconies, brick building, church steeple, cityscape, cobblestone street, daytime, gray sky, metal railings, old buildings, overcast, people walking, red bricks, roofs, stone walls, tourists, windows, wooden doors"," brick building, cobblestone street, church steeple, balconies, windows, roofs, stone walls, wooden doors, metal railings, people walking, tourists, architecture, cityscape, old buildings, red bricks, gray sky, overcast, daytime ",2025-06-24T23:05:52-04:00,true
llava:7b,768,01-structured-comprehensive,18-poppy-seed-cake-slices.jpg,"bakery, bread, counter, food, pastries, spices"," bread, spices, pastries, food, bakery, counter ",2025-06-24T23:05:53-04:00,true
llava:7b,768,01-structured-comprehensive,19-louvre-pyramid-courtyard.jpg,"cityscape, grey sky, historic monument, louvre museum, modern architecture, paris france, people walking, rainy day, urban environment, wet ground"," louvre museum, paris france, rainy day, grey sky, wet ground, people walking, modern architecture, historic monument, cityscape, urban environment ",2025-06-24T23:05:55-04:00,true
llava:7b,768,01-structured-comprehensive,20-woman-admiring-classical-statue.jpg,"1 person, admiring, art, artistic, black, blue, brown, calm, classical, contemplative, cultural, educational, gray, green, historical, history, indoor, looking at camera, marble, museum, neutral, public space, red, smiling, standing in front of statue, statue, white, woman"," woman, statue, museum, indoor, marble, white, gray, black, brown, red, blue, green, 1 person, looking at camera, smiling, standing in front of statue, admiring, art, history, cultural, educational, public space, neutral, calm, contemplative, historical, classical, artistic, cultural, educational, public space, neutral, calm, contemplative, historical, classical, artistic, cultural, educational, public space ",2025-06-24T23:05:57-04:00,true
llava:7b,768,01-structured-comprehensive,21-jeweled-royal-crown-display.jpg,"crown, display, glass case, historical, indoors, jewels, luxurious, no people, reflective, royal, shiny"," crown, jewels, display, glass case, indoors, no people, shiny, reflective, royal, luxurious, historical ",2025-06-24T23:05:58-04:00,true
llava:7b,768,01-structured-comprehensive,22-catacomb-skull-bone-wall.jpg,"bones, dark, indoor, no people, skulls"," skulls, bones, dark, indoor, no people ",2025-06-24T23:06:00-04:00,true
llava:7b,768,01-structured-comprehensive,23-catacomb-ossuary-plaque.jpg,"bones, cemetery, dark, death, eerie, french, grave, graveyard, historical, language, monument, night, ossuary, outdoor, plaque, sign, skeleton, skulls, somber, stone, text"," bones, skulls, sign, cemetery, graveyard, french, language, text, stone, plaque, historical, monument, skeleton, death, ossuary, dark, grave, cemetery, outdoor, night, eerie, somber ",2025-06-24T23:06:01-04:00,true
llava:7b,768,01-structured-comprehensive,24-forest-waterfall-moss-covered.jpg,"forest, green, misty, moss, natural, outdoor, overcast, river, serene, waterfall"," waterfall, moss, green, forest, river, misty, outdoor, natural, serene, overcast ",2025-06-24T23:06:03-04:00,true
llava:7b,768,01-structured-comprehensive,25-dog-playing-in-river.jpg,"1-person, alert, brown, calm, daytime, dog, forest, green, natural, outdoor, river, rocks, standing"," dog, river, rocks, forest, brown, green, 1-person, standing, alert, outdoor, natural, daytime, calm ",2025-06-24T23:06:04-04:00,true
llava:7b,768,01-structured-comprehensive,26-outdoor-cedar-plank-cooking.jpg,"bench, boots, campfire, canopy, casual, cell phone, chairs, clouds, comfortable, cooler, fire, friendly, grass, grill, guitar, hat, inviting, jacket, jeans, leisure, man, music, nature, outdoor, people, picnic table, relaxation, sky, socializing, sunglasses, table, tent, trees, warm, wood"," outdoor, campfire, man, guitar, people, chairs, table, tent, trees, grass, sky, clouds, wood, fire, grill, cooler, canopy, picnic table, bench, cell phone, sunglasses, jacket, hat, jeans, boots, leisure, relaxation, socializing, music, nature, casual, friendly, warm, inviting, comfortable ",2025-06-24T23:06:06-04:00,true
llava:7b,768,01-structured-comprehensive,27-woman-mountain-summit-view.jpg,"adventure, athletic, black tank top, blue water, casual, clear sky, daytime, determination, exercise, fitness, focused, green trees, hiking, mountain, nature, outdoor, relaxed, rocky terrain, shorts, woman"," woman, black tank top, shorts, hiking, mountain, outdoor, daytime, clear sky, green trees, blue water, rocky terrain, athletic, focused, determination, exercise, nature, adventure, casual, relaxed, fitness ",2025-06-24T23:06:08-04:00,true
llava:7b,768,01-structured-comprehensive,28-theatrical-stage-projection-design.jpg,"3-people, black, blue, colorful, evening, green, indoor, light show, lively, performance, red, sitting, stage, theater, vibrant, watching, white"," stage, performance, theater, light show, blue, black, white, red, green, 3-people, sitting, watching, colorful, indoor, evening, vibrant, lively ",2025-06-24T23:06:09-04:00,true
llava:7b,768,01-structured-comprehensive,29-excited-black-brown-dog.jpg,"black and tan, blue and white blanket, dog, indoor, jeans, mouth open, no accent colors, no dominant colors, no interaction with other objects, no people visible, no time of day specified, no visible emotions, no weather conditions specified, overall mood or ambiance is calm., person's leg in foreground, sitting on couch, tongue out"," dog, mouth open, tongue out, black and tan, sitting on couch, person's leg in foreground, jeans, blue and white blanket, indoor, no people visible, no interaction with other objects, no visible emotions, no dominant colors, no accent colors, no weather conditions specified, no time of day specified, overall mood or ambiance is calm. ",2025-06-24T23:06:11-04:00,true
llava:7b,768,01-structured-comprehensive,30-woman-smiling-on-boat.jpg,"blue shirt, brown coat, clouds, pier, sky, smiling, standing, water, woman"," woman, brown coat, blue shirt, smiling, standing, pier, water, sky, clouds ",2025-06-24T23:06:12-04:00,true
llava:7b,768,01-structured-comprehensive,31-wildebeest-herd-grazing-savanna.jpg,"animals, brown, calm, daytime, deer, field, green, nature, outdoor, wilderness, wildlife"," deer, field, animals, nature, wilderness, wildlife, brown, green, outdoor, daytime, calm ",2025-06-24T23:06:14-04:00,true
llava:7b,768,01-structured-comprehensive,32-urban-fire-smoke-city-skyline.jpg,"building, car, cityscape, daytime, emergency, fire, outdoor, person, smoke, street, urban"," smoke, fire, building, street, car, person, cityscape, outdoor, daytime, urban, emergency ",2025-06-24T23:06:15-04:00,true
llava:7b,768,01-structured-comprehensive,33-seabird-flying-over-pine-trees.jpg,"bird, clear, daytime, eagle, flight, forest, nature, outdoor, sky, trees"," eagle, sky, trees, forest, bird, flight, nature, outdoor, daytime, clear ",2025-06-24T23:06:16-04:00,true
llava:7b,768,01-structured-comprehensive,34-humpback-whale-breaching-ocean.jpg,"animal, gray, marine life, nature, ocean, sea, splash, water, whale, white, wildlife"," whale, ocean, water, splash, sea, nature, marine life, animal, wildlife, gray, white ",2025-06-24T23:06:18-04:00,true
llava:7b,768,01-structured-comprehensive,35-whale-tail-diving-forest-coastline.jpg,"blue, boat, calm, daytime, forest, green, island, nature, ocean, outdoor, sky, water, whale, wildlife"," whale, ocean, water, sky, boat, forest, island, wildlife, nature, outdoor, daytime, calm, blue, green ",2025-06-24T23:06:19-04:00,true
llava:7b,768,01-structured-comprehensive,36-quiche-held-coastal-landscape.jpg,"blue, daytime, food, grass, green, hand, holding, muffin, nature, outdoor, overcast, person, sky, water, yellow"," muffin, hand, food, outdoor, grass, sky, water, person, holding, muffin, nature, blue, green, yellow, overcast, daytime ",2025-06-24T23:06:20-04:00,true
llava:7b,768,01-structured-comprehensive,37-urban-deer-family-crossing-street.jpg,"3-people, accent colors: green, accepted, alert, artificial, balanced colors, beige, black, blue, bold colors, brown, building, calm, cars, casual, common, commonplace, complementary colors, concrete, consistent, contrasting colors, controlled, conventional, cream, customary, deer, domestic, dominant, dramatic colors, dynamic colors, earth tones, earthy colors, energetic colors, established, evening, everyday, everyday life, expected, familiar, fence, glass, grass, gray, grounded colors, habitual, harmonious colors, intense colors, leisurely, lively colors, mainstream, metal, monotonous, mundane, muted colors, natural, natural colors, neutral colors, normal, normative, orange, orderly, ordinary, organic colors, outdoor, parking lot, pastel colors, peaceful, pink, popular, predictable, prevalent, purple, quiet, recognizable, red, regular, relatable, relaxed, repetitive, residential, road, routine, safe, serene, shared, sidewalk, sign, soft colors, solid colors, standard, street light, striking colors, subdued colors, subtle colors, suburban, tan, traditional, tranquil, typical, understated colors, uniform, universal, unremarkable, urban, usual, vibrant colors, vivid colors, walking, white, widespread, wildlife, yellow"," deer, road, parking lot, cars, sign, fence, grass, sidewalk, street light, building, outdoor, evening, 3-people, walking, alert, urban, concrete, metal, glass, artificial, natural, wildlife, suburban, residential, calm, quiet, safe, controlled, orderly, peaceful, serene, tranquil, relaxed, leisurely, casual, everyday life, domestic, familiar, routine, commonplace, mundane, ordinary, unremarkable, typical, normal, expected, predictable, familiar, recognizable, relatable, common, shared, universal, everyday, usual, customary, habitual, routine, regular, consistent, repetitive, monotonous, uniform, standard, conventional, traditional, established, accepted, normative, mainstream, popular, widespread, prevalent, dominant, accent colors: green, brown, gray, white, black, red, yellow, blue, purple, orange, pink, beige, cream, tan, earth tones, neutral colors, muted colors, pastel colors, soft colors, subdued colors, understated colors, subtle colors, natural colors, organic colors, earthy colors, grounded colors, solid colors, bold colors, vibrant colors, lively colors, energetic colors, dynamic colors, vivid colors, intense colors, striking colors, dramatic colors, contrasting colors, complementary colors, harmonious colors, balanced colors",2025-06-24T23:06:25-04:00,true
llava:7b,768,01-structured-comprehensive,38-sunset-reflection-over-water.jpg,"blue, boat, calm, clouds, dock, evening, horizon, orange, peaceful, pink, serene, silhouette, sky, sunset, tranquil, water, yellow"," sunset, sky, water, horizon, boat, dock, calm, serene, orange, yellow, pink, blue, clouds, silhouette, tranquil, peaceful, evening ",2025-06-24T23:06:27-04:00,true
llava:7b,768,01-structured-comprehensive,39-orange-sunset-lake-silhouette.jpg,"beach, boats, buildings, calm, dusk, evening, horizon, leisure, ocean, orange, peaceful, people, pink, relaxation, serene, silhouette, skyline, sunset, tranquil, vacation, warm, yellow"," sunset, beach, ocean, horizon, skyline, silhouette, calm, serene, warm, orange, yellow, pink, buildings, boats, people, relaxation, leisure, vacation, tranquil, peaceful, evening, dusk ",2025-06-24T23:06:28-04:00,true
llava:7b,768,01-structured-comprehensive,40-sleeping-dog-close-up-portrait.jpg,"black, blanket, brown, cozy, dog, indoors, paw, relaxed"," dog, paw, blanket, black, brown, indoors, cozy, relaxed ",2025-06-24T23:06:30-04:00,true
llava:7b,768,01-structured-comprehensive,41-black-dog-on-rocky-riverbed.jpg,"1-person, brown, calm, daytime, dog, grass, green, natural, outdoor, relaxed, rocks, walking, water"," dog, rocks, water, grass, 1-person, walking, calm, green, brown, outdoor, natural, daytime, relaxed ",2025-06-24T23:06:31-04:00,true
llava:7b,768,01-structured-comprehensive,42-abandoned-blue-wheelbarrow-forest.jpg,"abandoned, blue, car, daytime, forest, green, outdoor, overturned, rocks, rusted, tire, wreckage"," car, abandoned, rusted, blue, green, tire, rocks, forest, overturned, wreckage, outdoor, daytime ",2025-06-24T23:06:32-04:00,true
llava:7b,768,01-structured-comprehensive,43-purple-foxglove-with-raindrops.jpg,"daytime, green leaves, outdoor, purple flowers, raindrops, vibrant, wet"," purple flowers, raindrops, green leaves, outdoor, daytime, wet, vibrant ",2025-06-24T23:06:34-04:00,true
llava:7b,768,01-structured-comprehensive,44-foxglove-flowers-forest-meadow.jpg,"clear sky, daytime, forest floor, green foliage, natural environment, outdoor setting, pink flowers, vibrant colors, wildflowers"," pink flowers, green foliage, forest floor, wildflowers, natural environment, outdoor setting, clear sky, daytime, vibrant colors ",2025-06-24T23:06:35-04:00,true
llava:7b,768,01-structured-comprehensive,45-hiker-with-dog-forest-trail.jpg,"bench, casual, daytime, dirt, dog, fence, forest, grass, outdoor, person, relaxed, sign, trees"," person, dog, forest, trees, bench, sign, grass, dirt, fence, outdoor, daytime, casual, relaxed ",2025-06-24T23:06:36-04:00,true
llava:7b,768,01-structured-comprehensive,46-aerial-view-coastal-town.jpg,"aerial view, airport, buildings, city, cityscape, clear, clouds, daytime, grass, houses, plane, propeller, sky, skyscraper, street, urban, water, window, wing"," plane, aerial view, cityscape, houses, street, grass, sky, clouds, water, buildings, airport, window, wing, propeller, skyscraper, city, urban, daytime, clear ",2025-06-24T23:06:38-04:00,true
llava:7b,768,01-structured-comprehensive,47-office-party-snack-table.jpg,"black, blue, bonjour 1se, bowls, building, carpet, celebration, curtains, daytime, decoration, floor, furniture, gift bags, glass, green, indoor, joy, metal, orange, outdoor, party, red, relaxation, sign, silver, sky, snacks, table, white, window, wood, yellow"," bonjour 1se, table, bowls, snacks, sign, window, curtains, building, sky, outdoor, daytime, blue, white, green, orange, yellow, red, black, silver, glass, metal, wood, carpet, floor, furniture, decoration, gift bags, party, celebration, joy, relaxation, indoor ",2025-06-24T23:06:40-04:00,true
llava:7b,768,01-structured-comprehensive,48-elephant-art-gallery-display.jpg,"art, artificial, background, big, black pants, blue shirt, bright, building, ceiling, chair, clear, colorful, construction, contemporary, crane, dark, daytime, decoration, digital, elephant, floor, foreground, giraffe, glasses, high, image, indoor, large, light, modern, office, person, phone, photo, poster, professional, room, scaffolding, screen, sculpture, table, tall, vibrant, wall, wallpaper, woman, work"," elephant, giraffe, wall, poster, indoor, building, construction, crane, scaffolding, person, woman, blue shirt, black pants, glasses, phone, table, chair, floor, ceiling, light, dark, colorful, vibrant, modern, contemporary, art, sculpture, decoration, room, office, professional, work, digital, screen, image, photo, wallpaper, background, foreground, large, big, tall, high, bright, clear, daytime, artificial, indoor, construction, crane, scaffolding ",2025-06-24T23:06:42-04:00,true
llava:7b,768,01-structured-comprehensive,49-restaurant-dinner-gathering.jpg,"buffet, casual, colorful, dining table, eating, evening, food, indoor, people, plates, restaurant, socializing"," buffet, food, plates, dining table, people, eating, socializing, restaurant, indoor, evening, casual, colorful ",2025-06-24T23:06:43-04:00,true
llava:7b,768,01-structured-comprehensive,50-war-memorial-statue-night.jpg,"building, cityscape, flag, fountain, illuminated, monument, night, person, statue, street light"," statue, fountain, night, cityscape, illuminated, monument, street light, building, flag, person ",2025-06-24T23:06:45-04:00,true
llava:7b,768,01-structured-comprehensive,51-green-dessert-molecular-spheres.jpg,"appetizing, cooking, food, green, healthy, herbs, indoor, kitchen, meal preparation, plate, spices, spoon, vibrant, white, yellow"," green, yellow, white, spoon, plate, food, herbs, spices, kitchen, indoor, meal preparation, cooking, healthy, vibrant, appetizing ",2025-06-24T23:06:46-04:00,true
llava:7b,768,01-structured-comprehensive,52-rose-shaped-dessert-edible-flower.jpg,"cake, chocolate, cream, dessert, food, frosting, indoor, plate, swirl, table"," dessert, cake, frosting, swirl, chocolate, cream, plate, table, indoor, food ",2025-06-24T23:06:47-04:00,true
llava:7b,768,01-structured-comprehensive,53-mountain-restaurant-couple-dining.jpg,"brown, couple, daytime, green, happy, mountain, restaurant, ski lift, snow, sunny"," couple, restaurant, mountain, snow, ski lift, sunny, daytime, happy, green, brown ",2025-06-24T23:06:49-04:00,true
llava:7b,768,01-structured-comprehensive,54-family-birthday-lunch-patio.jpg,"3-people, bever, beverages, black, blue, casual, chairs, colorful, cutlery, daytime, dining, dining table, drinks, enjoying, food, friendly, friends, glass, green, meal, metal, napkins, outdoor, people, plastic, relaxed, restaurant, smiling, socializing, table, white, wood, yellow"," 3-people, dining table, food, drinks, restaurant, socializing, casual, relaxed, outdoor, daytime, friendly, colorful, blue, white, yellow, green, black, wood, metal, glass, plastic, napkins, cutlery, chairs, people, smiling, enjoying, meal, beverages, dining, socializing, friends, restaurant, food, drinks, table, chairs, people, smiling, enjoying, meal, beverages, dining, socializing, friends, restaurant, food, drinks, table, chairs, people, smiling, enjoying, meal, beverages, dining, socializing, friends, restaurant, food, drinks, table, chairs, people, smiling, enjoying, meal, beverages, dining, socializing, friends, restaurant, food, drinks, table, chairs, people, smiling, enjoying, meal, beverages, dining, socializing, friends, restaurant, food, drinks, table, chairs, people, smiling, enjoying, meal, beverages, dining, socializing, friends, restaurant, food, drinks, table, chairs, people, smiling, enjoying, meal, beverages, dining, socializing, friends, restaurant, food, drinks, table, chairs, people, smiling, enjoying, meal, beverages, dining, socializing, friends, restaurant, food, drinks, table, chairs, people, smiling, enjoying, meal, bever",2025-06-24T23:06:54-04:00,true
llava:7b,768,01-structured-comprehensive,55-mountain-restaurant-group-dining.jpg,"casual, drinks, evening, indoor, people, relaxed, restaurant, socializing"," people, socializing, drinks, restaurant, indoor, evening, casual, relaxed ",2025-06-24T23:06:55-04:00,true
llava:7b,768,01-structured-comprehensive,56-summit-selfie-sunny-snowboard.jpg,"black jacket, blue jacket, clear sky, hikers, mountain peak, outdoor, rain gear, smiling, snowy, sunny"," hikers, mountain peak, sunny, blue jacket, black jacket, rain gear, smiling, snowy, outdoor, clear sky ",2025-06-24T23:06:56-04:00,true
llava:7b,768,01-structured-comprehensive,57-mountain-hut-group-window-view.jpg,"colorful, daytime, group, hiking, mountain, outdoor, smiling, snow"," hiking, mountain, snow, group, smiling, outdoor, daytime, colorful ",2025-06-24T23:06:57-04:00,true
llava:7b,768,01-structured-comprehensive,58-rustic-alpine-restaurant-group.jpg,"casual clothing, dining table, drinks, evening, food, indoor, people, relaxed, restaurant, smiling, socializing, wine glasses"," people, dining table, wine glasses, restaurant, indoor, evening, socializing, smiling, relaxed, casual clothing, food, drinks ",2025-06-24T23:06:58-04:00,true
llava:7b,1024,01-structured-comprehensive,01-street-meditation-couple.jpg,"bench, city, cold, couple, love, night, pedestrian, sidewalk, sitting, smiling, stone, street, urban, warmth, winter"," couple, bench, street, city, winter, sitting, smiling, love, warmth, urban, pedestrian, sidewalk, stone, cold, night ",2025-06-24T23:07:00-04:00,true
llava:7b,1024,01-structured-comprehensive,02-graffiti-skate-park.jpg,"abandoned, concrete floor, dark, empty, graffiti, indoor, metal beams, no people, skate park, urban"," skate park, graffiti, concrete floor, metal beams, empty, indoor, urban, abandoned, dark, no people ",2025-06-24T23:07:01-04:00,true
llava:7b,1024,01-structured-comprehensive,03-belgian-stew-fries.jpg,"dining table, evening, fork, french fries, indoor, knife, meal, plate of food, restaurant, sauce"," plate of food, french fries, sauce, fork, knife, dining table, restaurant, indoor, evening, meal ",2025-06-24T23:07:02-04:00,true
llava:7b,1024,01-structured-comprehensive,04-cheese-fondue-dinner.jpg,"beer, bowl, bread, casual, chair, cheese, counter, cozy, dark, dining table, drink, food, fork, fries, glass, ketchup, knife, light, mustard, napkin, person, pizza, plate, restaurant, sauce, soup, warm"," soup, bread, beer, person, dining table, restaurant, food, drink, glass, bowl, fork, knife, pizza, cheese, sauce, fries, ketchup, mustard, napkin, plate, counter, chair, light, dark, warm, cozy, casual ",2025-06-24T23:07:04-04:00,true
