image_filename,tags,raw_output,timestamp,success
01-street-meditation-couple.jpg,2 people sitting on a stone bench outside in winter.,2 people sitting on a stone bench outside in winter.,2025-06-25T02:52:01-04:00,true
02-graffiti-skate-park.jpg,3 men are standing in an abandoned building that is covered in graffiti.,3 men are standing in an abandoned building that is covered in graffiti.,2025-06-25T02:52:02-04:00,true
03-belgian-stew-fries.jpg,1234,1234,2025-06-25T02:52:03-04:00,true
04-cheese-fondue-dinner.jpg,3 people are sitting at a table with food and drinks in front of them.,3 people are sitting at a table with food and drinks in front of them.,2025-06-25T02:52:04-04:00,true
05-snowboarders-mountain-rest.jpg,5 people sitting in the snow with their snowboards on.,5 people sitting in the snow with their snowboards on.,2025-06-25T02:52:05-04:00,true
06-alpine-trail-hiker.jpg,"2 people sitting by a campfire in the woods, with a blue sky overhead","2 people sitting by a campfire in the woods, with a blue sky overhead",2025-06-25T02:52:06-04:00,true
07-restaurant-group-dinner.jpg,10 people sitting around a table in a restaurant eating food and drinking beer.,10 people sitting around a table in a restaurant eating food and drinking beer.,2025-06-25T02:52:07-04:00,true
08-neon-bar-friends.jpg,10 people in a purple picture are sitting around a table with drinks in front of them.,10 people in a purple picture are sitting around a table with drinks in front of them.,2025-06-25T02:52:08-04:00,true
09-record-store-group-photo.jpg,"12 people in the image, posing for a picture.","12 people in the image, posing for a picture.",2025-06-25T02:52:09-04:00,true
10-alpine-peaks-vista.jpg,"1000 feet above sea level, clouds, mountains, sky, snow","1000 feet above sea level, mountains, clouds, sky, snow",2025-06-25T02:52:11-04:00,true
11-blue-sneakers-blacklight.jpg,2 sneakers with blue laces in the foreground on a purple background.,2 sneakers with blue laces in the foreground on a purple background.,2025-06-25T02:52:12-04:00,true
12-winter-jackets-uv-light.jpg,2 people standing in front of a purple background with one person holding up a sign that says merry christmas.,2 people standing in front of a purple background with one person holding up a sign that says merry christmas.,2025-06-25T02:52:13-04:00,true
13-couple-train-selfie.jpg,2 people sitting next to each other on a train,2 people sitting next to each other on a train,2025-06-25T02:52:14-04:00,true
14-freddie-mercury-statue.jpg,1962 statue of a baseball player holding a bat on a field with a building in the background.,1962 statue of a baseball player holding a bat on a field with a building in the background.,2025-06-25T02:52:15-04:00,true
15-red-eyes-costume-display.jpg,3 people in red outfits with white dots on them standing next to each other inside a building.,3 people in red outfits with white dots on them standing next to each other inside a building.,2025-06-25T02:52:16-04:00,true
16-highland-cattle-pen.jpg,2 buffalo standing in a field with white sticks around them.,2 buffalo standing in a field with white sticks around them.,2025-06-25T02:52:17-04:00,true
17-european-town-rooftop-view.jpg,"3d brick wall, no people, old buildings","3d brick wall, old buildings, no people",2025-06-25T02:52:19-04:00,true
