model,image_size,prompt_name,image_filename,tags,raw_output,timestamp,success
qwen2.5vl:3b,128,01-structured-comprehensive,04-cheese-fondue-dinner.jpg,"indoor, warm, wooden table, plates of food, wine glasses, utensils, people, eating, smiling, casual, cozy, evening, relaxed, social","indoor, warm, wooden table, plates of food, wine glasses, utensils, people, eating, smiling, casual, cozy, evening, relaxed, social",2025-06-24T11:17:26-04:00,true
qwen2.5vl:3b,128,01-structured-comprehensive,01-street-meditation-couple.jpg,"dominant: blue, black","dominant: blue, black accent: white objects: bench, person, person, tree, building, street, sidewalk number of people: 2 actions: sitting, resting interactions: sitting next to each other emotions: relaxed, casual setting type: outdoors weather: clear time of day: daytime mood or ambiance: calm, peaceful",2025-06-24T11:17:27-04:00,true
qwen2.5vl:3b,128,01-structured-comprehensive,02-graffiti-skate-park.jpg,"dominant: white, accent: blue","dominant: white, accent: blue objects: skateboard, graffiti, person number of people: 1 actions: standing, looking around interactions: none emotions: neutral setting type: indoors weather: clear time of day: daytime mood or ambiance: casual, relaxed",2025-06-24T11:17:27-04:00,true
qwen2.5vl:3b,128,01-structured-comprehensive,07-restaurant-group-dinner.jpg,"dominant: black, white, brown","dominant: black, white, brown accent: brown objects: table, chairs, plates, cups, food, drinks, people number of people: 5 actions: eating, talking, smiling interactions: eating, drinking, socializing emotions: happy, relaxed setting type: indoors location: restaurant weather: unclear time of day: unclear mood or ambiance: casual, friendly",2025-06-24T11:17:28-04:00,true
qwen2.5vl:3b,128,01-structured-comprehensive,06-alpine-trail-hiker.jpg,"outdoors, forest, snow, trees, rocks, person, walking, serene, peaceful, cold, winter, nature, solitude, tranquility","outdoors, forest, snow, trees, rocks, person, walking, serene, peaceful, cold, winter, nature, solitude, tranquility",2025-06-24T11:17:29-04:00,true
qwen2.5vl:3b,128,01-structured-comprehensive,03-belgian-stew-fries.jpg,"dominant color: white, accent color: black","dominant color: white, accent color: black objects: plate, fork, knife, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork, knife, plate, fork",2025-06-24T11:17:34-04:00,true
qwen2.5vl:3b,128,01-structured-comprehensive,08-neon-bar-friends.jpg,"dominant color: purple, accent color: blue, objects: table, chairs, people, mood: lively, setting: indoors, location: party, weather: clear, time of day: evening, mood: festive","dominant color: purple, accent color: blue, objects: table, chairs, people, mood: lively, setting: indoors, location: party, weather: clear, time of day: evening, mood: festive",2025-06-24T11:17:35-04:00,true
qwen2.5vl:3b,128,01-structured-comprehensive,05-snowboarders-mountain-rest.jpg,"snowboard, snow, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder","snowboard, snow, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder, snowboarder",2025-06-24T11:17:36-04:00,true
qwen2.5vl:3b,128,01-structured-comprehensive,09-record-store-group-photo.jpg,"- Objects: Books, people, signboard","- Dominant color: Black - Accent color: White - Objects: Books, people, signboard - Number of people: 5 - Actions: Standing, posing, smiling - Interactions: Group photo, casual interaction - Emotions: Happy, relaxed - Setting type: Indoors - Location: Bookstore - Weather: Not visible - Time of day: Not visible - Overall mood: Cheerful, friendly",2025-06-24T11:17:36-04:00,true
qwen2.5vl:3b,128,01-structured-comprehensive,11-blue-sneakers-blacklight.jpg,"dominant color: purple, accent color: blue","dominant color: purple, accent color: blue objects: shoes, floor number of people: 1 actions: standing, looking down interactions: none emotions: neutral setting type: indoors location: unknown weather: unknown time of day: unknown mood/ambiance: mysterious",2025-06-24T11:17:37-04:00,true
