image_filename,tags,raw_output,timestamp,success
01-street-meditation-couple.jpg,"2 people sitting on a stone bench outside, holding each other., in winter clothing","2 people sitting on a stone bench outside, in winter clothing, holding each other.",2025-06-25T02:54:13-04:00,true
02-graffiti-skate-park.jpg,1 man standing in an empty building with graffiti on the walls.,1 man standing in an empty building with graffiti on the walls.,2025-06-25T02:54:14-04:00,true
03-belgian-stew-fries.jpg,"10-pack of ketchup, plate of food, silverware","10-pack of ketchup, plate of food, silverware",2025-06-25T02:54:15-04:00,true
04-cheese-fondue-dinner.jpg,1000 words,1000 words,2025-06-25T02:54:16-04:00,true
05-snowboarders-mountain-rest.jpg,5 people sitting in the snow with their snowboards on.,5 people sitting in the snow with their snowboards on.,2025-06-25T02:54:17-04:00,true
06-alpine-trail-hiker.jpg,3 people sitting around a campfire in the woods on a sunny day,3 people sitting around a campfire in the woods on a sunny day,2025-06-25T02:54:19-04:00,true
07-restaurant-group-dinner.jpg,"10 people are sitting around a table eating food, the table is brown and there are multiple cups on it.","10 people are sitting around a table eating food, the table is brown and there are multiple cups on it.",2025-06-25T02:54:20-04:00,true
08-neon-bar-friends.jpg,"3 people sitting on a bench in purple light, drinking beers, with one person wearing a hat.","3 people sitting on a bench in purple light, drinking beers, with one person wearing a hat.",2025-06-25T02:54:21-04:00,true
09-record-store-group-photo.jpg,12 people in a recording studio posing for a picture.,12 people in a recording studio posing for a picture.,2025-06-25T02:54:22-04:00,true
10-alpine-peaks-vista.jpg,"1000 feet, clouds, mountains, sky, snowy mountain","1000 feet, mountains, clouds, sky, snowy mountain",2025-06-25T02:54:23-04:00,true
11-blue-sneakers-blacklight.jpg,"3d shoe, black and blue shoes, indoor setting, person wearing jeans, purple background, tinted lighting","3d shoe, purple background, person wearing jeans, black and blue shoes, tinted lighting, indoor setting",2025-06-25T02:54:24-04:00,true
12-winter-jackets-uv-light.jpg,"2 men standing outside at night, both wearing jackets, lit up house or area in background, one holding a sign that reads merry christmas, one with a bottle in hand, other wearing a beanie, other with a backpack, trees in background","2 men standing outside at night, one holding a sign that reads merry christmas, other wearing a beanie, both wearing jackets, one with a bottle in hand, other with a backpack, trees in background, lit up house or area in background",2025-06-25T02:54:26-04:00,true
13-couple-train-selfie.jpg,2 people sitting on a train smiling at camera,2 people sitting on a train smiling at camera,2025-06-25T02:54:27-04:00,true
14-freddie-mercury-statue.jpg,1000 words per image is the maximum allowed.,1000 words per image is the maximum allowed.,2025-06-25T02:54:28-04:00,true
15-red-eyes-costume-display.jpg,10 red mannequins wearing a red jacket with buttons and big eyes in a museum display.,10 red mannequins wearing a red jacket with buttons and big eyes in a museum display.,2025-06-25T02:54:29-04:00,true
16-highland-cattle-pen.jpg,2 brown buffalo standing in a field with white sticks on either side.,2 brown buffalo standing in a field with white sticks on either side.,2025-06-25T02:54:30-04:00,true
17-european-town-rooftop-view.jpg,"3d brick wall, a bench in the background, people walking around, some carrying backpacks, trees in the distance","3d brick wall, people walking around, some carrying backpacks, a bench in the background, trees in the distance",2025-06-25T02:54:31-04:00,true
18-poppy-seed-cake-slices.jpg,"10-piece of bread with brown sugar on top in a pan, other pieces of bread nearby","10-piece of bread with brown sugar on top in a pan, other pieces of bread nearby",2025-06-25T02:54:32-04:00,true
19-louvre-pyramid-courtyard.jpg,100 people walking in front of a large building with glass pyramid design on a rainy day.,100 people walking in front of a large building with glass pyramid design on a rainy day.,2025-06-25T02:54:34-04:00,true
20-woman-admiring-classical-statue.jpg,"1 handbag, 1 statue, 1 wall with text, 1 woman","1 woman, 1 statue, 1 wall with text, 1 handbag",2025-06-25T02:54:35-04:00,true
21-jeweled-royal-crown-display.jpg,"10-crown, blingy, colorful, exhibition, museum, on display, people, shiny","10-crown, people, exhibition, museum, on display, shiny, blingy, colorful",2025-06-25T02:54:36-04:00,true
22-catacomb-skull-bone-wall.jpg,"1000 skulls in a room, some of which are in the foreground, while others are in the background. the arrangement creates an interesting pattern.","1000 skulls in a room, some of which are in the foreground, while others are in the background. The arrangement creates an interesting pattern.",2025-06-25T02:54:37-04:00,true
