image_filename,llava-7b,qwen2.5vl-7b,minicpm-v-8b
01-street-meditation-couple.jpg,"bench, cold, couple, daytime, people, sidewalk, sitting, street, urban, winter","black, blue, calm, casual, cityscape, couple, daylight, gray, pov, relaxed, sidewalk, sitting, stone bench, street, urban, winter clothing","bicycles parked in distance., casual interaction, cityscape background, cold weather clothing, couple, overcast sky, public space, relaxed, sidewalk pavement, sitting on bench, urban street scene"
02-graffiti-skate-park.jpg,"abandoned building, broken, concrete, contemplative, dark, decaying, desolate, desolation, dilapidated, dirty, edgy, empty, graffiti, gritty, introspective, melancholic, metal, moody, neglected, people, quiet, run down, rusted, skate park, skateboard, skateboard ramp, skateboarder, skateboarding, skater, solitary, stillness, street art, unkempt, urban, urban decay, vandalized","abandoned, casual, concrete, couple, decay, dilapidated, exploration, graffiti, graffiti art, graffiti-covered beams, graffiti-covered ceiling, graffiti-covered door, graffiti-covered floor, graffiti-covered ramp, graffiti-covered support beams, graffiti-covered support columns, graffiti-covered support pillars, graffiti-covered support posts, graffiti-covered support structures, graffiti-covered walls, graffiti-covered windows, gritty, happy, industrial, muted, people, pov, relaxed, standing, urban, urban exploration","abandoned building, casual clothing, colorful walls, concrete floor, daytime, first-person view, graffiti, greenery outside, group activity, indoor, industrial atmosphere., joyful expressions, natural light, people, ramp, relaxed, skateboarding, urban exploration, windows"
03-belgian-stew-fries.jpg,"dinner, food, fork, fries, knife, people, plate, restaurant, sauce, table","bottle, casual, cozy, dim, dinner, food, fork, fries, indoor, inviting, ketchup, knife, plate, restaurant, sauce, sausage, table, warm","casual dining, cherry tomato, condiments, cozy ambiance., food, fork, fries, indoor, knife, meat, plate, restaurant, sauce, spoon, table, warm light"
04-cheese-fondue-dinner.jpg,"beer, bread, casual, chairs, cheese, condiments, countertop, dining area, dining table, food, napkins, oven, people, pizza, restaurant, sauce, socializing, utensils, wine glass","beer, black, casual, cheese fondue, cozy, dining, food, group, indoor, people, pov, red, relaxed, restaurant, table, warm, yellow","bread cubes in bowl, casual dining, couple, cozy atmosphere., dark table surface, dim overhead lights, enjoying meal together, fries on plate, golden yellow beer, indoor restaurant, ketchup bottle, mustard bottle, people, red pot with fondue, relaxed, warm ambiance"
05-snowboarders-mountain-rest.jpg,"camera perspective, cold, friends, fun, group, mountain, outdoor, people, recreation, skiing, snow, snowboarding, socializing, winter sports","cold, excited, group, mountains, outdoor, overcast, people, selfie, snow, snowboarding, white","cloudy day, cold weather gear, colorful snowboards, goggles, group of people sitting on snow, helmets, leisurely pace, mountainous terrain, outdoor activity, overcast sky, relaxed atmosphere, snowboarding, snowy mountainside, standing person walking away, white and gray tones., winter clothing"
06-alpine-trail-hiker.jpg,"camping, couple, forest, nature, outdoor, people, picnic, relaxation","blue, campfire, forest, green, group, natural, outdoor, people, pov, relaxed, serene, snow, sunny","casual clothing, contemplative, couple, forest, green trees, natural light, outdoor camping scene, peaceful ambiance, people, relaxed, serene environment., sitting around campfire, snow patches, sunny day, wooden logs for fire pit"
07-restaurant-group-dinner.jpg,"casual, cell phone, chairs, dining, drinks, evening, food, friends, gathering, group, indoor, people, relaxed, restaurant, socializing, table","beige, brown, casual, cozy, dim, dining, eating, green, group, indoor, people, relaxed, restaurant, selfie, social","candid moment, casual dining, comfortable ambiance, conversation, drinking, eating, group, indoor, informal mealtime., painting on wall, people, relaxed, social gathering, warm tones"
08-neon-bar-friends.jpg,"bench, drinks, group, indoor, night, people, purple, socializing, table","blue, casual, drinks, festive, group, happy, indoor, lights, neon, people, plants, pov, purple, relaxed, socializing","artificial lights, casual gathering., contemplative, cozy ambiance, drinks on table, greenery, group, happy, indoor, purple illumination, relaxed, socializing"
09-record-store-group-photo.jpg,"bookshelves, bookstore, casual, colorful, group, happy, people, relaxed, selfie, socializing, warm lighting","black, casual, excited, fun, group, indoor, laughing, lively, people, posing, record store, vibrant, warm, white, yellow","casual clothing, colorful records, excited, friendly atmosphere., group, happy, indoor, music collection, people, posing, record store, relaxed ambiance, social interaction, vintage vibe, warm light"
10-alpine-peaks-vista.jpg,"adrenaline, adventure, alpine, blue, breathtaking, clouds, cold weather, crowd, excitement, exhilaration, green, high altitude, landscape, majestic, mountainous, nature, outdoor recreation, people, rocky terrain, scenic, ski lift, ski resort, sky, snow-covered peaks, snowy mountain range, thrill, tourism, travel, vacation destination, white, winter sports, winter wonderland","adventure, blue, bright, clear, clouds, cold, expansive, high-altitude, landscape, mountains, nature, outdoor, peaks, pov, serene, sky, snow, snow-capped, tranquil, vast, white, winter","adventure, alpine environment., blue skies, clouds, cold, high altitude, mountains, outdoor activity, scenic, ski resort, sky, snow, tranquil, winter sports"
