model,image_size,prompt_name,image_filename,tags,raw_output,timestamp,success
gemma3:4b,768,01-structured-comprehensive,01-street-meditation-couple.jpg,"calm, contemplative, grey, muted colors, overcast, people, relaxed, sidewalk, sitting, stone, street, urban","people, relaxed, contemplative, grey, stone, sidewalk, urban, calm, muted colors, overcast, street, sitting",2025-06-26T09:45:45-04:00,true
gemma3:4b,768,01-structured-comprehensive,02-graffiti-skate-park.jpg,"abandoned, concrete, contemplative, dim lighting, graffiti, gray, industrial, interior, people, relaxed, sneakers, urban","people, contemplative, relaxed, graffiti, urban, concrete, gray, dim lighting, industrial, abandoned, interior, sneakers",2025-06-26T09:45:51-04:00,true
gemma3:4b,768,01-structured-comprehensive,03-belgian-stew-fries.jpg,"brown, casual, comfort, cutlery, eating, food, fries, gravy, indoors, people, plate, red, relaxed, restaurant, table, warm lighting, white","plate, food, gravy, fries, cutlery, table, restaurant, indoors, warm lighting, relaxed, casual, people, eating, comfort, brown, white, red",2025-06-26T09:45:58-04:00,true
gemma3:4b,768,01-structured-comprehensive,04-cheese-fondue-dinner.jpg,"bread, cozy, evening, fondue, glasses, happy, hot, indoors, people, red, relaxed, table, warm","people, relaxed, happy, fondue, bread, hot, glasses, red, warm, cozy, table, indoors, evening",2025-06-26T09:46:04-04:00,true
gemma3:4b,768,01-structured-comprehensive,05-snowboarders-mountain-rest.jpg,"blue, calm, casual, mountains, outdoors, people, perspective, relaxed, serene, snow, snowboarding, white, winter","people, relaxed, snowboarding, snow, mountains, winter, outdoors, calm, blue, white, casual, perspective, serene",2025-06-26T09:46:10-04:00,true
gemma3:4b,768,01-structured-comprehensive,06-alpine-trail-hiker.jpg,"bright, calm, campfire, daylight, forest, happy, outdoors, peaceful, people, relaxed, scenic, snow, trees","people, relaxed, outdoors, campfire, snow, trees, calm, happy, scenic, bright, daylight, forest, peaceful",2025-06-26T09:46:17-04:00,true
gemma3:4b,768,01-structured-comprehensive,07-restaurant-group-dinner.jpg,"beer, casual, conversation, dimly lit, eating, group, people, relaxed, restaurant, table","people, relaxed, eating, table, beer, casual, dimly lit, restaurant, group, conversation",2025-06-26T09:46:23-04:00,true
gemma3:4b,768,01-structured-comprehensive,08-neon-bar-friends.jpg,"blue, casual, contemplative, dim lighting, drinks, evening, gray, group, outdoor, people, relaxed, tables","people, relaxed, contemplative, drinks, tables, outdoor, evening, dim lighting, blue, gray, casual, group",2025-06-26T09:46:29-04:00,true
gemma3:4b,768,01-structured-comprehensive,09-record-store-group-photo.jpg,"club, colorful, dark, energetic, excited, group, happy, lively, music, people, records, smiling, standing","people, happy, excited, group, music, records, dark, colorful, lively, club, standing, smiling, energetic",2025-06-26T09:46:35-04:00,true
gemma3:4b,768,01-structured-comprehensive,10-alpine-peaks-vista.jpg,"blue sky, bright sunlight, clear sky, clouds, distant town, expansive, high altitude, panoramic view, peaceful, people, relaxed, serene, snowy mountains, vast landscape","snowy mountains, panoramic view, blue sky, clouds, people, relaxed, serene, vast landscape, bright sunlight, distant town, high altitude, peaceful, expansive, clear sky",2025-06-26T09:46:42-04:00,true
