model,image_size,prompt_name,image_filename,tags,raw_output,timestamp,success
llava:7b,768,no_prompt,01-street-meditation-couple.jpg,"affectionate, bench, casual clothing, city, city life, cityscape, cold, concrete bench, couple, daytime, outdoor, overcast, pedestrians, people, public space, sidewalk, sitting, street, street furniture, together, urban, winter"," people, couple, sitting, bench, street, sidewalk, urban, city, daytime, overcast, pedestrians, casual clothing, winter, cold, together, affectionate, public space, outdoor, cityscape, street furniture, concrete bench, city life ",2025-06-26T13:54:55-04:00,true
llava:7b,768,no_prompt,02-graffiti-skate-park.jpg,"and there's a ramp in the background, indicating that this place is used for skateboarding activities., the image depicts an indoor space that appears to be a skate park or a similar recreational area. there are several graffiti-covered walls, which suggests a casual and urban atmosphere. the floor is made of concrete"," The image depicts an indoor space that appears to be a skate park or a similar recreational area. There are several graffiti-covered walls, which suggests a casual and urban atmosphere. The floor is made of concrete, and there's a ramp in the background, indicating that this place is used for skateboarding activities.  In the foreground, there is a person standing, who seems to be observing or possibly preparing to use the facilities. This individual appears to be an adult male wearing casual clothing and a backpack. He is looking towards the camera with a neutral expression.  The lighting in the space is artificial, coming from the ceiling, which casts shadows on the floor. The overall mood of the image is somewhat somber due to the lack of natural light and the industrial feel of the setting. There are no other people visible in the image, so it's not a crowded or busy scene.  The dominant colors in the image are muted, with the concrete floor providing a neutral base that contrasts with the colorful graffiti on the walls. The lighting quality is uneven, with some areas being brighter than others due to the direction of the light source.  There are no key objects other than the ramp and the graffiti-covered walls. The setting appears to be a skate park or an abandoned industrial building repurposed for recreational use. ",2025-06-26T13:55:00-04:00,true
llava:7b,768,no_prompt,03-belgian-stew-fries.jpg,"and there are condiments visible in the background, possibly in a restaurant or pub. the overall atmosphere appears cozy and inviting, such as ketchup and mustard bottles. a fork and knife are to the right of the plate, suggesting that the meal is ready to be eaten. there's also a bottle with a red liquid, the image shows a meal on a plate, which could be beer or another type of drink. the setting seems to be casual dining, which includes what appears to be meat (possibly pork chops) with gravy and fries. there's also a small salad or garnish on the side. the plate is placed on a dining table, with warm lighting and a comfortable ambiance."," The image shows a meal on a plate, which includes what appears to be meat (possibly pork chops) with gravy and fries. There's also a small salad or garnish on the side. The plate is placed on a dining table, and there are condiments visible in the background, such as ketchup and mustard bottles. A fork and knife are to the right of the plate, suggesting that the meal is ready to be eaten. There's also a bottle with a red liquid, which could be beer or another type of drink. The setting seems to be casual dining, possibly in a restaurant or pub. The overall atmosphere appears cozy and inviting, with warm lighting and a comfortable ambiance. ",2025-06-26T13:55:03-04:00,true
llava:7b,768,no_prompt,04-cheese-fondue-dinner.jpg,"ambiance, beer, bottle, bowls, bread, candle, casual, cheese, dining experience, dining table, dinner, evening, food items, fork, indoor, knife, meal, menu, napkin, people, pizza, plates, restaurant, sauce, setting, social, table, utensils, wine glass"," The image depicts a dining scene with a focus on food and drink. Here are the keywords:  people, restaurant, dinner, table, plates, bowls, pizza, bread, cheese, sauce, fork, knife, napkin, beer, wine glass, bottle, menu, candle, ambiance, casual, social, meal, dining table, utensils, food items, dining experience, evening, indoor, setting ",2025-06-26T13:55:05-04:00,true
llava:7b,768,no_prompt,05-snowboarders-mountain-rest.jpg,"activity, clothing, cloudy, cold, daytime, equipment, friends, fun, gear, group, landscape, leisure, mountain, outdoor, people, recreation, resort, skiing, slope, snow, snowboarding, sport, weather, winter"," people, snowboarding, skiing, group, mountain, snow, winter, outdoor, recreation, cold, fun, friends, activity, sport, leisure, landscape, weather, cloudy, daytime, clothing, gear, equipment, slope, resort ",2025-06-26T13:55:06-04:00,true
llava:7b,768,no_prompt,06-alpine-trail-hiker.jpg,"barbecue, campfire, campground., camping, clouds, daytime, fire pit, forest, grill, mountain, outdoor activity, picnic table, pine needles, recreation, relaxation, sky, snow, the image depicts a serene outdoor scene with a focus on leisure and nature. here are the keywords: people, tranquility, trees, wilderness, wooded area"," The image depicts a serene outdoor scene with a focus on leisure and nature. Here are the keywords: people, camping, forest, picnic table, fire pit, barbecue, grill, trees, pine needles, snow, mountain, sky, clouds, daytime, recreation, relaxation, wooded area, wilderness, tranquility, outdoor activity, campfire, campground. ",2025-06-26T13:55:08-04:00,true
llava:7b,768,no_prompt,07-restaurant-group-dinner.jpg,"and food, bottles, in the image, indicating that they might be having dinner or drinks together., suggesting an indoor environment. there are various items on the table such as cups, there is a group of people gathered around a dining table in what appears to be a restaurant setting. the atmosphere seems casual and social, with individuals engaged in conversation or enjoying their meal. the lighting is warm and ambient"," In the image, there is a group of people gathered around a dining table in what appears to be a restaurant setting. The atmosphere seems casual and social, with individuals engaged in conversation or enjoying their meal. The lighting is warm and ambient, suggesting an indoor environment. There are various items on the table such as cups, bottles, and food, indicating that they might be having dinner or drinks together.  The people present include a mix of genders and ages, all seemingly relaxed and engaged in the gathering. One individual is taking a selfie with the group, capturing this moment. The overall mood of the image is convivial and friendly, with no signs of distress or tension. ",2025-06-26T13:55:11-04:00,true
llava:7b,768,no_prompt,08-neon-bar-friends.jpg,"atmosphere, bench, casual, celebration, comfortable, cozy, drinks, festive, friends, gathering, group, holiday, indoor, inviting, leisure, lighting, mood, night, party, people, purple, relaxed, setting, social, table, warm"," people, group, purple, night, indoor, lighting, social, gathering, friends, drinks, table, bench, casual, relaxed, atmosphere, setting, mood, leisure, party, celebration, cozy, warm, inviting, comfortable, festive, holiday ",2025-06-26T13:55:13-04:00,true
llava:7b,768,no_prompt,09-record-store-group-photo.jpg,"atmosphere, books, bookshelves, bookstore, casual, celebration, cheerful, colorful, contemporary, energetic, entertainment, friends, fun, gathering, group, group selfie, happiness, indoor, informal, joy, leisure, library, lighting, lively, merchandise, music, party, people, photo opportunity, posing, record store, relaxed, retail, selfie, shelves, shop, smiling, social, social media, storefront, urban, vibrant, vinyl records, youthful"," people, group, selfie, bookstore, bookshelves, books, shelves, library, indoor, lighting, atmosphere, social, gathering, friends, celebration, party, joy, happiness, casual, relaxed, informal, leisure, entertainment, music, vinyl records, record store, merchandise, shop, retail, storefront, urban, contemporary, youthful, vibrant, colorful, lively, fun, posing, smiling, cheerful, energetic, social media, photo opportunity, group selfie ",2025-06-26T13:55:15-04:00,true
llava:7b,768,no_prompt,10-alpine-peaks-vista.jpg,"adventure, alpine, breathtaking, clouds, cold, high altitude, hiking, landscape, leisure, mountains, nature, outdoor, panoramic, people, photography, recreation, scenic, skiing, sky, snow, tourism, travel, vacation, winter"," people, mountains, snow, sky, clouds, landscape, outdoor, nature, winter, high altitude, scenic, travel, vacation, adventure, hiking, skiing, cold, alpine, tourism, recreation, leisure, photography, panoramic, breathtaking ",2025-06-26T13:55:17-04:00,true
